08 12 2018 13 33 00 00000000 00110000    0.171    0.018    0.059    22    21    22  13.7 1522.0 1522.0 297.1 -22.8  29.2   0.000   0.000  20.20     0 15220    0.172    83.99
08 12 2018 13 34 00 00000000 00110000    0.005   -0.067    0.093    22    21    22  13.7 1522.0 1522.0 297.4 -22.8  29.2   0.000   0.000  20.20     0 15220    0.067   175.73
08 12 2018 13 35 00 00000000 00110000   -0.300   -0.103    0.121    22    21    22  13.7 1522.0 1522.0 293.7 -22.8  29.2   0.000   0.000  20.20     0 15220    0.317   251.05
08 12 2018 13 36 00 00000000 00110000    0.149    0.109    0.078    22    21    22  13.7 1522.0 1522.0 298.7 -22.8  29.2   0.000   0.000  20.21     0 15220    0.185    53.81
08 12 2018 13 37 00 00000000 00110000    0.000   -0.421   -0.172    22    21    22  13.7 1522.0 1522.0 296.7 -22.8  29.2   0.000   0.000  20.21     0 15220    0.421   180.00
08 12 2018 13 38 00 00000000 00110000   -0.099   -0.119   -0.400    22    21    22  13.7 1522.0 1522.0 297.5 -22.8  29.2   0.000   0.000  20.21     0 15220    0.155   219.76
08 12 2018 13 39 00 00000000 00110000   -0.039   -0.053    0.204    22    21    22  13.7 1522.0 1522.1 298.7 -22.9  29.2   0.000   0.000  20.22     0 15220    0.066   216.35
08 12 2018 13 40 00 00000000 00110000   -0.167   -0.047   -0.014    22    21    22  13.7 1522.0 1522.1 298.9 -22.8  29.2   0.000   0.000  20.22     0 15220    0.173   254.28
08 12 2018 13 41 00 00000000 00110000   -0.125    0.010    0.080    22    21    22  13.7 1522.0 1522.1 295.9 -22.8  29.2   0.000   0.000  20.22     0 15220    0.125   274.57
08 12 2018 13 42 00 00000000 00110000    0.107    0.462    0.072    22    21    21  13.7 1522.0 1522.1 302.2 -22.8  29.2   0.000   0.000  20.23     0 15220    0.474    13.04
08 12 2018 13 43 00 00000000 00110000    0.005   -0.326   -0.190    22    21    22  13.7 1522.0 1522.1 299.5 -22.8  29.2   0.000   0.000  20.23     0 15220    0.326   179.12
